,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
10,1-gpt2-small,68925,39054,16056,0.000229485,0.00039054000000000004,12,363.1319403592101,213.3797647701473
5,2-gpt2-medium,75081,58218,21408,0.000289161,0.0005821800000000001,24,144.0950427847001,71.57007569251205
9,2-opt-350m,93933,88914,21408,0.000308013,0.0008891400000000001,24,135.27567559377906,46.86176155236146
3,3-gpt2-large,86146,80454,26760,0.000353746,0.0008045400000000001,36,78.52464134655312,34.52628555171623
8,4-gpt2-xl,105853,122064,33450,0.00044035300000000004,0.00122064,48,47.310528901434374,17.067549263774197
1,3-opt-1b3m,170174,276138,42816,0.0005983340000000001,0.0027613800000000003,24,69.63780541748699,15.089073820577633
4,4-opt-2b7m,212610,396422,43328,0.0006458900000000001,0.00396422,32,48.382851569152635,7.883013556260752
2,1-llama-7b,320907,721988,44864,0.0007695470000000001,0.007219880000000001,32,40.60830592543405,4.328326786594791
7,5-opt-6b7m,399662,904730,44864,0.0008483020000000001,0.009047300000000001,32,36.83829579560109,3.4540691698075663
6,6-opt-13b,570507,1376674,56080,0.001131307,0.013766740000000001,40,22.09833405079258,1.8159709560869164
0,7-opt-30b,1007641,2615474,78512,0.0017927610000000001,0.026154740000000003,48,11.620809094649724,0.796541404477098
