filename,crossbar_power,DAC_power,ADC_power,Buffer_power,Other_digital_part_power
1-gpt2-small.txt,0.7149375426375001,0.1437735,36.866,1.5947129320000004,1.7699235024639055
5-opt-6b7m.txt,16.2052493250375,3.2587815,835.586,35.859345411999996,40.11824395538699
2-opt-350m.txt,1.4298750095174997,0.2875431,73.73,3.176157508,3.53984598490651
6-opt-13b.txt,24.6256239349575,4.952067899999999,1269.7620000000002,54.485248196,60.963997637488774
1-llama-13b.txt,19.462186674157497,3.9137319,1003.522,43.063704036000004,48.18122415318108
3-gpt2-large.txt,1.3901562613575,0.2795559000000001,71.68200000000002,3.0882994760000004,3.4415169581041423
4-gpt2-xl.txt,2.2639687208775,0.4552742999999999,116.738,5.021176180000001,5.6047555477562145
3-opt-1b3m.txt,4.607374862317499,0.9265190999999999,237.57,10.204800068,11.40616812909586
4-opt-2b7m.txt,6.8514841333575,1.3777959,353.28200000000004,15.168778876000001,16.96175814342959
1-llama-7b.txt,12.868874479597498,2.5878567,663.5540000000001,28.479270724,31.85860570398817
7-opt-30b.txt,46.7092479119175,9.3929511,2408.45,103.334313988,115.63493653960475
2-gpt2-medium.txt,0.9532500315974999,0.1916967,49.15400000000001,2.121861124,2.359897663278107
